Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
51,"1.45,9.04,2.09,1.59","0.65,0.0,0.37,0.58",0.0,"14897.63,19590.37,13413.53,11474.48"
52,"1.0,0.89,4.82,3.11","1.0,0.19,0.0,0.18",0.0,"13900.17,19404.25,13413.53,11297.65"
53,"0.99,1.21,0.96,2.45","0.94,0.8,1.0,0.29",0.0,"12956.53,18602.14,12415.54,11005.74"
54,"1.22,0.93,2.69,1.89","0.8,1.0,0.16,0.45",0.0,"12153.29,17604.25,12255.54,10551.97"
55,"7.64,1.0,2.17,1.0","0.0,0.99,0.33,1.0",0.0,"12153.29,16618.47,11924.67,9550.74"
56,"1.21,3.23,1.26,11.04","0.8,0.11,0.71,0.0",0.0,"11356.48,16513.43,11219.27,9550.74"
57,"2.43,1.26,3.81,2.77","0.26,0.75,0.0,0.23",0.0,"11092.03,15759.39,11219.27,9323.29"
58,"3.68,3.07,1.38,1.59","0.11,0.18,0.61,0.58",0.0,"10980.86,15584.01,10610.05,8740.34"
59,"3.37,1.14,0.96,1.67","0.14,0.83,0.97,0.55",0.0,"10836.66,14753.18,9642.98,8194.32"
60,"1.8,1.0,0.98,3.59","0.48,0.9,0.99,0.13",0.0,"10353.12,13853.51,8653.43,8069.25"
61,"1.0,1.15,0.05,1.4","0.99,0.85,0.77,0.69",0.0,"9364.1,13001.95,7880.26,7381.59"
62,"2.25,2.3,1.73,1.0","0.33,0.32,0.46,1.0",0.0,"9036.86,12680.29,7417.5,6381.51"
63,"1.24,1.17,4.39,1.35","0.77,0.83,0.0,0.72",0.0,"8267.41,11846.8,7417.5,5665.42"
64,"2.17,0.99,4.64,4.66","0.36,0.99,0.0,0.06",0.0,"7909.1,10858.26,7417.5,5607.42"
65,"1.51,2.86,1.85,1.0","0.6,0.21,0.46,1.0",0.0,"7314.07,10648.15,6958.72,4606.03"
66,"1.02,2.42,1.36,2.24","0.98,0.22,0.52,0.34",0.0,"6335.17,10426.01,6440.82,4264.27"
67,"1.33,1.11,0.97,1.0","0.71,0.89,1.0,1.0",0.0,"5625.64,9540.66,5443.04,3263.11"
68,"1.18,1.46,4.96,1.36","0.79,0.63,0.0,0.71",0.0,"4833.49,8913.23,5443.04,2548.41"
69,"1.33,1.08,1.71,1.62","0.73,0.88,0.44,0.56",0.0,"4101.85,8034.12,5000.33,1986.69"
70,"1.34,1.54,0.04,2.92","0.5,0.59,0.39,0.2",0.0,"3605.67,7445.64,4609.11,1783.07"
71,"1.0,1.25,1.22,1.26","0.99,0.77,0.74,0.78",0.0,"2614.12,6674.48,3865.43,1002.21"
72,"1.56,1.48,2.78,11.24","0.59,0.63,0.14,0.0",0.0,"2020.04,6048.25,3723.71,1002.21"
73,"1.46,1.0,0.91,2.62","0.58,0.98,0.95,0.26",0.0,"1444.06,5071.24,2771.01,745.7"
74,"0.99,5.17,4.27,1.0","0.99,0.0,0.04,1.0",0.25,"456.33,5071.24,2731.36,0.0"
75,"2.01,1.44,4.71,16.07","0.41,0.64,0.0,0.0",0.25,"50.02,4434.85,2731.36,0.0"
76,"2.04,0.19,4.46,14.88","0.39,0.04,0.0,0.0",0.5,"0.0,4390.33,2731.36,0.0"
77,"10.34,4.9,1.88,10.74","0.0,0.04,0.4,0.0",0.5,"0.0,4353.77,2332.05,0.0"
78,"9.85,1.83,5.13,11.34","0.0,0.46,0.0,0.0",0.5,"0.0,3894.13,2332.05,0.0"
79,"8.71,1.73,0.74,12.66","0.0,0.45,0.97,0.0",0.5,"0.0,3440.42,1359.74,0.0"
80,"6.39,1.23,4.03,13.91","0.0,0.79,0.0,0.0",0.5,"0.0,2653.57,1359.74,0.0"
81,"6.12,1.11,4.15,12.84","0.0,0.89,0.05,0.0",0.5,"0.0,1764.14,1311.29,0.0"
82,"7.14,2.84,1.23,14.87","0.0,0.21,0.76,0.0",0.5,"0.0,1551.79,550.74,0.0"
83,"8.83,0.72,0.97,11.54","0.0,0.0,0.99,0.0",0.75,"0.0,1551.79,0.0,0.0"
84,"9.89,2.23,1.97,7.72","0.0,0.34,0.0,0.0",0.75,"0.0,1208.61,0.0,0.0"
85,"3.89,1.02,3.01,11.97","0.0,0.96,0.0,0.0",0.75,"0.0,246.97,0.0,0.0"
86,"7.44,1.34,2.27,13.65","0.0,0.72,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
87,"7.26,9.8,5.02,13.83","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
88,"6.6,7.53,5.36,11.6","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
89,"9.63,7.91,5.15,13.47","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
90,"4.62,7.56,5.51,14.48","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
91,"9.26,8.63,3.25,15.65","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
92,"8.41,8.1,1.4,12.85","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
93,"8.69,8.31,5.23,13.33","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
94,"2.7,5.83,4.56,14.96","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
95,"9.38,6.44,1.3,15.98","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"3.75,8.61,4.26,15.27","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"5.77,8.04,4.43,13.37","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"5.26,9.0,2.24,10.94","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"8.55,7.36,6.08,13.68","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
