Step,V2I_rate,V2V_Rate,V2V_success,Remaining_V2V_payload
72,"4.63,1.0,3.27,1.15","0.05,0.99,0.0,0.86",0.25,"6084.98,5667.65,0.0,847.11"
73,"2.19,1.3,4.48,1.0","0.32,0.75,0.0,1.0",0.5,"5761.55,4921.07,0.0,0.0"
74,"1.17,2.47,1.57,14.98","0.83,0.27,0.0,0.0",0.5,"4931.91,4646.37,0.0,0.0"
75,"1.58,1.85,4.39,13.96","0.56,0.39,0.0,0.0",0.5,"4370.88,4251.75,0.0,0.0"
76,"5.32,1.21,5.61,15.11","0.02,0.81,0.0,0.0",0.5,"4352.38,3442.23,0.0,0.0"
77,"1.27,1.81,3.17,12.48","0.76,0.48,0.0,0.0",0.5,"3595.62,2964.94,0.0,0.0"
78,"9.19,4.07,3.8,14.96","0.0,0.0,0.0,0.0",0.5,"3595.62,2964.94,0.0,0.0"
79,"2.09,5.96,4.18,8.21","0.37,0.0,0.0,0.0",0.5,"3227.18,2964.94,0.0,0.0"
80,"1.46,1.06,0.51,15.23","0.64,0.67,0.0,0.0",0.5,"2586.49,2290.21,0.0,0.0"
81,"2.55,3.03,3.76,10.0","0.26,0.17,0.0,0.0",0.5,"2326.96,2115.63,0.0,0.0"
82,"1.43,1.18,1.89,14.01","0.2,0.77,0.0,0.0",0.5,"2128.16,1349.31,0.0,0.0"
83,"2.12,1.73,4.67,14.77","0.36,0.51,0.0,0.0",0.5,"1770.26,836.68,0.0,0.0"
84,"1.92,2.33,5.51,11.99","0.42,0.31,0.0,0.0",0.5,"1350.43,527.85,0.0,0.0"
85,"2.5,1.67,4.77,10.55","0.27,0.42,0.0,0.0",0.5,"1082.74,103.04,0.0,0.0"
86,"0.99,1.5,4.41,15.2","0.87,0.52,0.0,0.0",0.75,"212.42,0.0,0.0,0.0"
87,"2.45,8.52,4.98,13.74","0.29,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
88,"10.15,9.11,3.29,12.68","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
89,"10.53,10.97,5.46,12.0","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
90,"10.2,8.87,5.91,15.39","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
91,"6.2,8.65,4.85,11.43","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
92,"8.57,8.27,1.22,13.08","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
93,"10.89,2.92,4.94,13.36","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
94,"10.35,8.11,2.14,13.65","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
95,"10.23,9.68,4.64,15.84","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"5.89,6.27,0.85,13.64","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"11.12,8.99,5.46,14.05","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"6.47,9.73,4.62,14.86","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"6.1,5.98,4.34,13.58","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
0,"1.14,1.24,0.95,15.79","0.84,0.79,0.99,0.0",0.0,"41558.7,41611.09,41414.18,42400.0"
1,"1.09,4.54,1.02,1.27","0.89,0.06,0.89,0.77",0.0,"40667.22,41551.57,40523.12,41626.68"
2,"1.52,3.8,2.34,3.06","0.6,0.0,0.06,0.18",0.0,"40067.08,41551.57,40464.41,41442.12"
3,"1.18,1.42,1.84,15.45","0.45,0.58,0.45,0.0",0.0,"39621.01,40971.81,40011.99,41442.12"
4,"1.0,2.98,1.03,1.98","0.96,0.18,0.72,0.42",0.0,"38662.37,40791.38,39293.67,41020.19"
5,"1.17,1.42,1.87,1.47","0.8,0.57,0.43,0.65",0.0,"37859.26,40224.7,38860.31,40371.83"
6,"1.19,8.05,3.53,1.17","0.78,0.0,0.11,0.85",0.0,"37082.96,40224.7,38745.46,39520.82"
7,"1.44,1.43,0.98,2.42","0.57,0.65,0.98,0.3",0.0,"36516.09,39571.0,37769.54,39221.54"
8,"1.27,2.52,1.34,2.73","0.77,0.21,0.68,0.24",0.0,"35749.85,39362.37,37087.13,38985.48"
9,"1.0,1.1,1.34,1.36","0.96,0.9,0.69,0.71",0.0,"34791.85,38461.37,36393.93,38272.68"
10,"1.27,1.64,1.27,1.53","0.73,0.55,0.74,0.61",0.0,"34057.3,37913.09,35654.43,37660.96"
11,"1.6,1.0,1.27,2.14","0.55,0.96,0.71,0.37",0.0,"33508.6,36952.12,34940.18,37289.27"
12,"1.49,5.01,4.7,10.5","0.62,0.04,0.0,0.0",0.0,"32886.95,36909.04,34940.18,37289.27"
13,"9.22,1.19,2.69,1.56","0.0,0.83,0.0,0.59",0.0,"32886.95,36083.65,34940.18,36695.0"
14,"9.34,1.6,1.06,2.86","0.0,0.5,0.86,0.21",0.0,"32886.95,35587.15,34081.47,36481.05"
15,"1.0,1.17,0.97,1.33","1.0,0.63,0.97,0.73",0.0,"31890.31,34957.72,33113.07,35750.86"
16,"2.03,0.83,0.99,1.16","0.39,0.67,0.98,0.86",0.0,"31497.55,34285.1,32133.46,34893.52"
17,"5.48,1.55,0.51,1.45","0.03,0.57,0.29,0.66",0.0,"31467.26,33717.81,31844.39,34233.5"
18,"8.09,0.99,1.8,1.63","0.0,0.98,0.46,0.56",0.0,"31467.26,32734.97,31387.07,33673.71"
19,"2.18,1.0,1.03,1.69","0.34,1.0,0.93,0.53",0.0,"31122.27,31739.2,30452.79,33142.46"
20,"1.61,0.98,1.81,1.74","0.57,0.99,0.33,0.51",0.0,"30553.07,30744.62,30127.15,32629.02"
21,"2.05,1.21,0.98,13.42","0.39,0.8,0.98,0.0",0.0,"30160.74,29943.15,29146.55,32629.02"
22,"9.81,1.11,1.39,1.3","0.0,0.89,0.6,0.75",0.0,"30160.74,29056.84,28542.9,31874.11"
23,"7.26,2.5,5.32,1.71","0.0,0.27,0.0,0.53",0.0,"30158.25,28787.78,28542.9,31346.88"
24,"1.33,1.32,1.11,2.06","0.72,0.73,0.55,0.39",0.0,"29436.28,28061.28,27989.58,30952.03"
25,"2.19,1.63,0.44,1.76","0.34,0.53,0.72,0.51",0.0,"29094.7,27531.1,27266.21,30445.88"
26,"1.0,7.15,5.76,1.26","0.97,0.0,0.0,0.78",0.0,"28127.45,27531.1,27266.21,29665.05"
27,"1.78,1.14,7.01,6.88","0.47,0.82,0.0,0.01",0.0,"27653.83,26707.69,27266.21,29652.85"
28,"2.14,1.41,3.33,1.41","0.36,0.56,0.13,0.68",0.0,"27296.21,26148.03,27136.81,28972.72"
29,"4.97,1.22,1.21,2.08","0.05,0.77,0.56,0.39",0.0,"27251.1,25374.26,26574.61,28582.7"
30,"7.36,1.28,1.68,13.89","0.0,0.75,0.43,0.0",0.0,"27251.1,24622.03,26144.4,28582.7"
31,"2.0,3.24,1.28,1.0","0.41,0.05,0.66,1.0",0.0,"26841.68,24572.47,25489.12,27581.2"
32,"1.9,1.19,1.93,1.78","0.38,0.81,0.4,0.5",0.0,"26461.02,23758.64,25084.5,27085.22"
33,"2.0,1.61,0.9,1.12","0.41,0.57,0.98,0.89",0.0,"26055.07,23192.65,24105.9,26198.71"
34,"1.05,1.09,1.27,1.17","0.89,0.9,0.73,0.84",0.0,"25162.79,22294.9,23372.24,25353.78"
35,"1.3,8.2,1.72,1.08","0.74,0.0,0.47,0.93",0.0,"24425.01,22294.9,22900.88,24428.27"
36,"1.3,1.65,1.18,1.06","0.74,0.51,0.81,0.94",0.0,"23681.21,21785.42,22091.53,23489.23"
37,"1.25,0.92,4.11,1.04","0.71,0.12,0.0,0.96",0.0,"22973.86,21669.7,22091.53,22533.55"
38,"1.49,0.99,1.35,1.32","0.63,0.97,0.66,0.74",0.0,"22346.18,20698.07,21436.31,21797.76"
39,"1.93,2.61,0.54,2.4","0.4,0.25,0.0,0.3",0.0,"21945.99,20444.62,21436.31,21496.06"
40,"1.0,8.06,2.97,1.21","0.99,0.0,0.17,0.81",0.0,"20952.46,20444.62,21269.81,20681.9"
41,"0.99,1.68,4.87,6.52","0.99,0.51,0.0,0.02",0.0,"19962.0,19933.96,21269.81,20666.15"
42,"0.99,1.56,6.94,1.0","0.99,0.57,0.0,1.0",0.0,"18973.18,19366.86,21269.81,19664.62"
43,"1.24,2.37,1.77,1.23","0.7,0.29,0.47,0.8",0.0,"18275.52,19075.21,20801.26,18860.09"
44,"2.29,1.0,1.05,13.76","0.32,1.0,0.76,0.0",0.0,"17952.96,18076.19,20044.91,18860.09"
45,"3.0,1.55,1.56,1.4","0.19,0.58,0.48,0.66",0.0,"17765.88,17499.47,19567.79,18201.27"
46,"2.46,0.96,0.85,3.17","0.27,0.98,0.52,0.17",0.0,"17491.68,16522.18,19050.05,18031.75"
47,"1.61,1.42,1.22,10.38","0.57,0.67,0.74,0.0",0.0,"16926.0,15853.55,18305.47,18031.75"
48,"7.64,1.17,0.99,1.75","0.0,0.77,0.48,0.51",0.0,"16926.0,15081.16,17825.66,17523.35"
49,"1.58,8.38,0.83,1.3","0.57,0.0,0.83,0.75",0.0,"16355.14,15081.16,16995.27,16772.23"
50,"2.57,1.75,5.95,5.79","0.24,0.48,0.0,0.03",0.0,"16111.51,14596.61,16995.27,16746.45"
51,"1.84,1.27,1.54,1.3","0.47,0.61,0.49,0.75",0.0,"15644.7,13986.02,16510.07,15993.89"
52,"2.06,1.0,0.95,1.0","0.38,0.84,0.65,1.0",0.0,"15266.67,13147.63,15860.67,14992.26"
53,"1.23,2.12,0.62,1.34","0.79,0.37,0.99,0.72",0.0,"14471.81,12774.24,14875.49,14268.38"
54,"1.49,4.14,1.64,13.72","0.63,0.06,0.38,0.0",0.0,"13845.67,12716.04,14497.25,14268.38"
55,"1.07,3.04,0.9,1.4","0.92,0.16,0.01,0.69",0.0,"12921.39,12560.29,14485.99,13583.0"
56,"1.45,1.41,3.96,1.5","0.64,0.66,0.0,0.63",0.0,"12281.54,11899.95,14485.99,12953.12"
57,"2.06,3.06,2.79,2.2","0.39,0.17,0.12,0.35",0.0,"11895.67,11727.82,14369.56,12598.37"
58,"1.28,1.4,1.58,2.12","0.64,0.67,0.55,0.38",0.0,"11258.32,11061.19,13814.91,12222.34"
59,"4.12,1.38,0.97,1.64","0.08,0.68,0.93,0.56",0.0,"11178.09,10377.64,12883.48,11664.08"
60,"1.0,1.67,0.98,2.0","1.0,0.53,1.0,0.41",0.0,"10181.11,9844.18,11888.28,11250.59"
61,"2.03,1.28,0.99,2.79","0.4,0.76,0.91,0.23",0.0,"9781.11,9089.15,10981.58,11025.58"
62,"3.04,1.48,1.52,1.07","0.18,0.64,0.59,0.93",0.0,"9599.24,8453.35,10387.09,10096.36"
63,"1.44,1.79,1.12,5.29","0.64,0.46,0.66,0.04",0.0,"8955.21,7989.45,9727.06,10059.32"
64,"0.54,1.13,2.68,1.26","0.91,0.85,0.0,0.78",0.0,"8044.63,7136.3,9727.06,9278.78"
65,"1.8,1.95,1.74,2.75","0.47,0.37,0.48,0.23",0.0,"7572.24,6762.46,9245.08,9046.25"
66,"2.16,1.3,2.07,1.42","0.36,0.73,0.24,0.67",0.0,"7215.03,6032.23,9007.5,8375.15"
67,"2.0,1.03,1.03,1.2","0.41,0.96,0.87,0.83",0.0,"6805.9,5076.21,8139.05,7547.42"
68,"1.01,0.98,1.06,1.2","0.83,0.95,0.91,0.82",0.0,"5979.4,4121.44,7230.98,6726.07"
69,"1.62,1.99,1.86,4.67","0.53,0.41,0.37,0.06",0.0,"5447.94,3708.43,6862.6,6668.62"
70,"1.0,8.77,1.52,2.5","0.96,0.0,0.49,0.28",0.0,"4484.31,3708.43,6368.02,6387.51"
71,"1.42,1.68,1.35,1.67","0.62,0.37,0.44,0.54",0.0,"3867.58,3334.86,5928.29,5843.03"
72,"1.22,1.28,0.41,1.57","0.77,0.75,0.89,0.59",0.0,"3094.41,2580.27,5033.43,5248.25"
73,"9.13,1.21,1.25,2.11","0.0,0.74,0.67,0.38",0.0,"3094.41,1841.81,4366.08,4866.88"
74,"1.57,3.19,1.31,1.8","0.57,0.15,0.5,0.49",0.0,"2519.62,1690.49,3862.08,4379.7"
75,"2.37,0.99,2.05,2.05","0.3,0.99,0.01,0.4",0.0,"2223.22,695.78,3856.72,3979.95"
76,"1.44,6.58,0.88,1.59","0.64,0.01,0.91,0.58",0.0,"1579.45,682.66,2942.51,3396.44"
77,"2.62,1.31,3.4,2.98","0.25,0.69,0.0,0.2",0.25,"1327.2,0.0,2942.51,3200.35"
78,"1.0,8.34,4.76,2.58","1.0,0.0,0.0,0.26",0.25,"331.69,0.0,2942.51,2935.75"
79,"2.37,7.19,1.41,1.37","0.26,0.0,0.57,0.7",0.25,"71.48,0.0,2368.53,2233.26"
80,"1.11,7.77,1.15,1.26","0.89,0.0,0.76,0.78",0.5,"0.0,0.0,1606.64,1452.24"
81,"6.94,3.63,0.41,1.45","0.0,0.0,0.94,0.65",0.5,"0.0,0.0,664.69,799.5"
82,"5.59,8.44,1.59,1.5","0.0,0.0,0.53,0.63",0.5,"0.0,0.0,137.63,172.41"
83,"9.05,2.68,0.94,7.75","0.0,0.0,0.79,0.0",0.75,"0.0,0.0,0.0,172.41"
84,"10.07,10.55,3.68,1.0","0.0,0.0,0.0,1.0",1.0,"0.0,0.0,0.0,0.0"
85,"6.67,7.96,3.64,13.14","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
86,"9.3,8.96,6.78,11.33","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
87,"9.58,9.22,2.57,14.02","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
88,"8.82,9.31,2.91,14.92","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
89,"10.29,5.62,3.08,14.75","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
90,"10.88,9.1,4.27,12.12","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
91,"8.43,7.35,4.2,14.07","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
92,"9.03,8.44,2.23,11.02","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
93,"9.43,7.21,6.6,13.78","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
94,"6.99,4.56,4.76,10.74","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
95,"8.28,9.33,5.84,12.53","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"7.18,8.26,5.3,15.01","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"10.39,7.25,4.52,12.43","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"5.79,9.77,2.22,15.4","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"8.1,11.0,3.53,14.27","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
0,"1.02,1.09,1.07,1.14","0.91,0.91,0.9,0.87",0.0,"41494.17,41493.79,41499.54,41527.24"
1,"2.08,1.19,1.07,1.0","0.36,0.82,0.89,1.0",0.0,"41131.5,40671.29,40610.62,40525.64"
2,"3.38,2.71,0.95,1.32","0.1,0.23,0.91,0.73",0.0,"41027.6,40442.19,39697.78,39791.66"
3,"9.11,1.92,2.91,1.25","0.0,0.44,0.0,0.79",0.0,"41027.6,40005.8,39697.78,39001.38"
4,"1.76,1.67,1.27,1.56","0.3,0.52,0.75,0.6",0.0,"40726.68,39489.09,38946.76,38404.82"
5,"3.45,7.03,2.17,1.89","0.12,0.0,0.33,0.4",0.0,"40602.07,39489.09,38618.63,38001.72"
6,"2.4,1.0,1.27,13.97","0.3,1.0,0.62,0.0",0.0,"40304.16,38491.01,37999.88,38001.72"
7,"2.63,1.2,0.97,2.67","0.24,0.79,1.0,0.25",0.0,"40067.98,37702.01,37003.51,37755.59"
8,"1.8,1.6,1.37,1.44","0.47,0.57,0.66,0.66",0.0,"39596.97,37136.14,36340.66,37093.94"
9,"0.99,9.32,0.97,1.21","0.98,0.0,0.85,0.82",0.0,"38615.81,37136.14,35494.33,36277.12"
10,"1.87,5.51,1.15,13.35","0.46,0.0,0.6,0.0",0.0,"38159.4,37136.14,34898.32,36277.12"
11,"1.44,1.25,1.26,2.49","0.66,0.77,0.76,0.28",0.0,"37503.17,36366.05,34133.37,35997.55"
12,"1.08,1.18,5.4,1.29","0.92,0.82,0.0,0.76",0.0,"36584.36,35545.96,34133.37,35241.4"
13,"1.05,1.65,4.82,1.09","0.94,0.46,0.0,0.91",0.0,"35642.28,35088.09,34133.37,34327.5"
14,"2.55,1.12,0.96,1.72","0.22,0.88,0.98,0.52",0.0,"35420.32,34205.3,33157.01,33805.01"
15,"6.02,2.3,3.12,1.95","0.01,0.32,0.16,0.43",0.0,"35411.18,33887.48,33001.75,33374.88"
16,"1.0,1.01,2.41,1.15","0.99,0.98,0.18,0.86",0.0,"34423.6,32909.76,32824.43,32511.66"
17,"1.27,1.18,1.37,2.2","0.73,0.82,0.61,0.35",0.0,"33697.54,32092.31,32211.39,32157.13"
18,"2.06,1.99,1.64,1.8","0.39,0.41,0.51,0.49",0.0,"33312.31,31683.87,31696.71,31668.78"
19,"3.28,1.44,1.23,1.13","0.15,0.66,0.76,0.88",0.0,"33158.59,31028.38,30938.0,30790.92"
20,"2.63,1.0,2.06,2.0","0.19,0.96,0.33,0.42",0.0,"32964.71,30067.6,30604.64,30375.3"
21,"5.47,1.47,3.38,1.21","0.02,0.62,0.0,0.81",0.0,"32942.64,29450.26,30604.64,29561.74"
22,"1.32,2.17,2.16,1.0","0.69,0.34,0.22,1.0",0.0,"32247.71,29112.32,30381.91,28560.21"
23,"2.98,3.37,1.03,1.13","0.19,0.14,0.88,0.88",0.0,"32056.38,28970.64,29506.41,27682.04"
24,"2.64,2.34,1.53,2.02","0.25,0.31,0.6,0.41",0.0,"31806.32,28663.2,28911.01,27272.99"
25,"2.87,1.0,3.63,1.3","0.21,0.97,0.11,0.75",0.0,"31598.56,27690.13,28805.93,26518.57"
26,"1.26,2.98,2.83,1.27","0.76,0.19,0.1,0.77",0.0,"30839.8,27503.37,28707.3,25748.2"
27,"1.78,1.25,4.84,1.08","0.42,0.68,0.0,0.92",0.0,"30421.85,26824.34,28707.3,24825.97"
28,"1.65,2.01,0.48,1.92","0.31,0.4,0.74,0.44",0.0,"30110.95,26420.13,27964.32,24382.81"
29,"1.8,2.53,0.85,15.99","0.48,0.27,0.96,0.0",0.0,"29634.73,26151.67,27000.95,24382.81"
30,"1.73,1.01,3.11,1.14","0.49,0.97,0.0,0.87",0.0,"29145.31,25181.09,27000.95,23513.01"
31,"3.13,9.57,4.61,1.0","0.17,0.0,0.0,1.0",0.0,"28974.76,25181.09,27000.95,22511.36"
32,"1.5,1.23,1.49,11.01","0.62,0.71,0.47,0.0",0.0,"28356.7,24468.58,26527.66,22511.36"
33,"1.12,2.1,1.02,1.22","0.87,0.36,0.92,0.81",0.0,"27484.44,24106.53,25605.24,21701.76"
34,"1.49,1.52,1.11,2.65","0.63,0.61,0.8,0.25",0.0,"26857.41,23493.94,24808.39,21451.22"
35,"2.58,1.0,1.35,1.0","0.26,0.99,0.69,1.0",0.0,"26597.58,22505.72,24118.13,20449.55"
36,"1.46,1.06,0.97,1.66","0.65,0.93,1.0,0.55",0.0,"25948.96,21577.38,23120.58,19902.05"
37,"1.33,3.9,1.6,1.81","0.7,0.07,0.56,0.48",0.0,"25244.78,21509.44,22556.52,19417.8"
38,"1.31,3.25,0.67,1.9","0.7,0.16,0.51,0.45",0.0,"24543.03,21354.34,22048.02,18970.31"
39,"9.14,1.24,0.91,5.63","0.0,0.77,0.97,0.03",0.0,"24543.03,20580.64,21082.81,18940.88"
40,"1.75,2.16,0.98,1.77","0.47,0.35,1.0,0.5",0.0,"24075.52,20226.15,20086.9,18440.86"
41,"3.63,1.19,1.18,5.99","0.09,0.83,0.78,0.02",0.0,"23989.48,19398.9,19309.23,18418.13"
42,"1.64,1.54,1.01,1.43","0.55,0.58,0.82,0.67",0.0,"23437.19,18817.32,18492.53,17749.7"
43,"1.0,1.51,0.94,1.02","1.0,0.6,1.0,0.98",0.0,"22438.99,18214.0,17493.96,16772.03"
44,"0.99,1.1,4.77,1.0","0.95,0.89,0.0,1.0",0.0,"21488.31,17323.91,17493.96,15771.7"
45,"1.68,1.06,0.29,9.71","0.53,0.91,1.0,0.0",0.0,"20959.81,16409.36,16494.17,15771.7"
46,"1.09,3.6,0.27,1.33","0.91,0.12,0.62,0.73",0.0,"20052.04,16288.85,15871.61,15038.25"
47,"4.84,8.41,0.99,1.26","0.05,0.0,1.0,0.78",0.0,"20002.46,16288.85,14876.21,14258.46"
48,"1.49,1.24,0.94,1.2","0.62,0.71,0.99,0.83",0.0,"19377.69,15574.8,13883.97,13431.72"
49,"7.75,1.34,1.46,4.1","0.0,0.67,0.62,0.09",0.0,"19377.69,14903.71,13262.02,13345.31"
50,"1.31,1.25,4.55,1.07","0.72,0.73,0.0,0.93",0.0,"18655.11,14169.31,13262.02,12415.14"
51,"2.15,1.06,1.81,1.66","0.34,0.93,0.35,0.55",0.0,"18316.61,13243.88,12910.23,11866.35"
52,"1.66,7.59,1.87,14.2","0.53,0.0,0.41,0.0",0.0,"17785.1,13243.88,12495.7,11866.35"
53,"1.28,1.09,1.29,2.06","0.75,0.89,0.71,0.39",0.0,"17034.2,12358.54,11785.4,11475.4"
54,"1.0,2.15,0.9,2.11","0.99,0.36,0.95,0.38",0.0,"16045.85,12000.05,10840.27,11095.25"
55,"8.7,1.0,1.21,1.82","0.0,0.98,0.69,0.48",0.0,"16043.81,11019.62,10152.35,10615.27"
56,"2.43,1.0,0.93,5.36","0.29,0.76,0.55,0.04",0.0,"15756.7,10259.03,9598.79,10579.83"
57,"11.17,1.0,5.1,2.04","0.0,0.99,0.0,0.4",0.0,"15756.7,9270.02,9598.79,10178.23"
58,"7.43,2.6,1.41,3.0","0.0,0.25,0.53,0.19",0.0,"15756.7,9018.52,9072.2,9985.17"
59,"1.27,8.52,1.92,1.86","0.76,0.0,0.35,0.47",0.0,"14999.04,9018.52,8725.33,9519.98"
60,"0.92,2.09,1.49,2.95","0.99,0.38,0.56,0.2",0.0,"14008.41,8640.22,8160.87,9320.33"
61,"2.21,1.31,1.85,1.59","0.32,0.67,0.35,0.58",0.0,"13691.57,7966.17,7808.35,8736.43"
62,"2.37,2.43,1.58,1.21","0.25,0.28,0.47,0.82",0.0,"13445.86,7687.88,7341.62,7917.08"
63,"2.66,2.04,1.29,1.0","0.23,0.39,0.62,1.0",0.0,"13216.16,7299.23,6724.44,6915.52"
64,"1.26,1.88,1.31,1.0","0.77,0.44,0.67,1.0",0.0,"12448.56,6859.26,6049.57,5914.66"
65,"4.85,2.33,1.67,1.69","0.04,0.27,0.42,0.54",0.0,"12407.52,6591.01,5625.39,5378.67"
66,"2.48,1.22,5.68,3.18","0.27,0.8,0.0,0.17",0.0,"12136.99,5787.62,5625.39,5209.77"
67,"3.06,1.0,1.89,1.73","0.18,0.98,0.4,0.52",0.0,"11960.12,4808.38,5220.93,4691.84"
68,"3.18,1.59,1.13,1.3","0.17,0.56,0.65,0.75",0.0,"11794.45,4247.25,4571.18,3938.54"
69,"1.23,7.93,3.04,3.45","0.79,0.0,0.17,0.14",0.0,"11006.3,4247.25,4396.91,3800.36"
70,"10.15,1.58,1.54,1.12","0.0,0.45,0.48,0.89",0.0,"11006.3,3800.95,3917.29,2907.59"
71,"4.15,1.86,1.88,1.78","0.07,0.44,0.42,0.5",0.0,"10940.52,3357.34,3496.13,2409.9"
72,"7.56,1.0,1.11,1.09","0.0,0.9,0.85,0.91",0.0,"10940.52,2454.59,2645.92,1497.8"
73,"3.14,1.14,1.29,1.88","0.17,0.79,0.69,0.46",0.0,"10767.97,1665.14,1959.12,1041.89"
74,"1.72,1.46,2.98,1.63","0.51,0.6,0.15,0.56",0.0,"10260.97,1068.9,1811.49,480.66"
75,"1.04,1.4,3.95,15.01","0.95,0.67,0.0,0.0",0.0,"9311.08,400.08,1811.49,480.66"
76,"1.72,1.54,0.1,1.05","0.51,0.54,0.7,0.96",0.5,"8797.94,0.0,1109.13,0.0"
77,"1.0,8.09,1.21,13.3","1.0,0.0,0.75,0.0",0.5,"7799.41,0.0,359.43,0.0"
78,"3.19,10.72,1.48,14.62","0.17,0.0,0.0,0.0",0.5,"7633.97,0.0,359.43,0.0"
79,"0.74,4.4,1.43,15.08","0.9,0.0,0.64,0.0",0.75,"6732.44,0.0,0.0,0.0"
80,"2.23,3.75,6.05,16.24","0.33,0.0,0.0,0.0",0.75,"6397.92,0.0,0.0,0.0"
81,"1.56,9.36,4.44,13.13","0.57,0.0,0.0,0.0",0.75,"5828.8,0.0,0.0,0.0"
82,"5.3,7.57,3.81,14.02","0.0,0.0,0.0,0.0",0.75,"5828.8,0.0,0.0,0.0"
83,"1.6,8.73,4.74,14.67","0.48,0.0,0.0,0.0",0.75,"5347.63,0.0,0.0,0.0"
84,"1.73,10.73,4.81,12.79","0.5,0.0,0.0,0.0",0.75,"4850.5,0.0,0.0,0.0"
85,"2.32,9.48,6.18,11.92","0.31,0.0,0.0,0.0",0.75,"4537.74,0.0,0.0,0.0"
86,"9.38,10.26,5.16,13.91","0.0,0.0,0.0,0.0",0.75,"4537.74,0.0,0.0,0.0"
87,"1.03,4.93,4.33,12.98","0.96,0.0,0.0,0.0",0.75,"3576.98,0.0,0.0,0.0"
88,"1.03,8.46,3.11,13.58","0.71,0.0,0.0,0.0",0.75,"2863.34,0.0,0.0,0.0"
89,"2.58,8.0,4.62,15.28","0.26,0.0,0.0,0.0",0.75,"2603.6,0.0,0.0,0.0"
90,"2.12,9.92,6.4,13.13","0.37,0.0,0.0,0.0",0.75,"2238.59,0.0,0.0,0.0"
91,"2.94,8.79,4.88,15.41","0.19,0.0,0.0,0.0",0.75,"2048.58,0.0,0.0,0.0"
92,"1.31,7.75,2.54,12.95","0.73,0.0,0.0,0.0",0.75,"1320.7,0.0,0.0,0.0"
93,"0.99,10.8,3.49,10.01","1.0,0.0,0.0,0.0",0.75,"320.89,0.0,0.0,0.0"
94,"3.32,10.18,5.45,14.66","0.14,0.0,0.0,0.0",0.75,"176.12,0.0,0.0,0.0"
95,"1.69,8.91,3.88,14.25","0.53,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
96,"2.89,7.26,7.06,13.44","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
97,"9.11,3.71,2.54,15.07","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
98,"8.14,10.1,4.3,13.66","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
99,"10.79,8.93,4.07,14.15","0.0,0.0,0.0,0.0",1.0,"0.0,0.0,0.0,0.0"
0,"1.3,1.11,1.32,14.4","0.74,0.79,0.69,0.0",0.0,"41661.54,41605.29,41709.12,42400.0"
1,"1.51,3.4,2.05,1.04","0.62,0.1,0.36,0.96",0.0,"41042.59,41508.6,41348.95,41437.48"
2,"0.99,1.88,1.35,2.1","0.99,0.42,0.7,0.38",0.0,"40052.55,41087.73,40650.07,41053.62"
3,"1.58,1.11,1.95,2.16","0.58,0.87,0.41,0.37",0.0,"39468.92,40219.06,40237.47,40688.57"
4,"2.48,1.58,2.02,2.03","0.28,0.55,0.32,0.4",0.0,"39192.16,39664.07,39915.73,40284.22"
